year,state_orig,state_dest,sctg2,sctg2_description,value,state_orig_gdp,state_dest_gdp,name_state_orig,name_state_dest
2012,IL,OR,1,Animals & fish (live),0,5911.13,3690.43,Illinois,Oregon
2012,VA,TX,1,Animals & fish (live),0,1680.19,8217.54,Virginia,Texas
2012,WI,CA,1,Animals & fish (live),0,4945.86,34377.93,Wisconsin,California
2012,CA,HI,1,Animals & fish (live),0.01,34377.93,536.2,California,Hawaii
2012,MO,MS,1,Animals & fish (live),0.01,3341.06,1902.13,Missouri,Mississippi
2012,MT,NE,1,Animals & fish (live),0.01,1834.38,7575.09,Montana,Nebraska
2012,KS,DE,1,Animals & fish (live),0.02,5402.17,417,Kansas,Delaware
2012,KS,GA,1,Animals & fish (live),0.02,5402.17,4205.78,Kansas,Georgia
2012,MD,UT,1,Animals & fish (live),0.02,1043.96,718.31,Maryland,Utah
2012,CA,AL,1,Animals & fish (live),0.03,34377.93,1802.17,California,Alabama
2012,KS,NC,1,Animals & fish (live),0.03,5402.17,4602.34,Kansas,North Carolina
2012,MD,LA,1,Animals & fish (live),0.04,1043.96,2101.69,Maryland,Louisiana
2012,MT,KS,1,Animals & fish (live),0.04,1834.38,5402.17,Montana,Kansas
2012,GA,MO,1,Animals & fish (live),0.06,4205.78,3341.06,Georgia,Missouri
2012,MO,OR,1,Animals & fish (live),0.09,3341.06,3690.43,Missouri,Oregon
2012,KY,MS,1,Animals & fish (live),0.1,2112.13,1902.13,Kentucky,Mississippi
2012,MA,FL,1,Animals & fish (live),0.1,1009.57,6682.81,Massachusetts,Florida
2012,PA,MA,1,Animals & fish (live),0.17,3704.98,1009.57,Pennsylvania,Massachusetts
2012,CA,CT,1,Animals & fish (live),0.18,34377.93,409.33,California,Connecticut
2012,KS,CT,1,Animals & fish (live),0.22,5402.17,409.33,Kansas,Connecticut
2012,NC,MD,1,Animals & fish (live),0.25,4602.34,1043.96,North Carolina,Maryland
2012,NC,FL,1,Animals & fish (live),0.26,4602.34,6682.81,North Carolina,Florida
2012,KS,PA,1,Animals & fish (live),0.3,5402.17,3704.98,Kansas,Pennsylvania
2012,KS,CA,1,Animals & fish (live),0.32,5402.17,34377.93,Kansas,California
2012,MD,NM,1,Animals & fish (live),0.39,1043.96,1416.47,Maryland,New Mexico
2012,KS,MA,1,Animals & fish (live),0.44,5402.17,1009.57,Kansas,Massachusetts
2012,MO,AZ,1,Animals & fish (live),0.47,3341.06,1903.86,Missouri,Arizona
2012,PA,VT,1,Animals & fish (live),0.48,3704.98,445.75,Pennsylvania,Vermont
2012,MD,CA,1,Animals & fish (live),0.49,1043.96,34377.93,Maryland,California
2012,SC,MS,1,Animals & fish (live),0.51,1188.08,1902.13,South Carolina,Mississippi
2012,OR,NV,1,Animals & fish (live),0.52,3690.43,294.82,Oregon,Nevada
2012,CA,NE,1,Animals & fish (live),0.56,34377.93,7575.09,California,Nebraska
2012,MD,TX,1,Animals & fish (live),0.58,1043.96,8217.54,Maryland,Texas
2012,TX,NM,1,Animals & fish (live),0.66,8217.54,1416.47,Texas,New Mexico
2012,MI,IL,1,Animals & fish (live),0.78,3286.13,5911.13,Michigan,Illinois
2012,MD,MO,1,Animals & fish (live),0.79,1043.96,3341.06,Maryland,Missouri
2012,OH,MD,1,Animals & fish (live),0.79,3762.89,1043.96,Ohio,Maryland
2012,NC,AL,1,Animals & fish (live),0.83,4602.34,1802.17,North Carolina,Alabama
2012,TX,AZ,1,Animals & fish (live),0.86,8217.54,1903.86,Texas,Arizona
2012,VT,MA,1,Animals & fish (live),0.87,445.75,1009.57,Vermont,Massachusetts
2012,VT,NY,1,Animals & fish (live),0.87,445.75,2872.87,Vermont,New York
2012,VT,PA,1,Animals & fish (live),0.87,445.75,3704.98,Vermont,Pennsylvania
2012,VT,RI,1,Animals & fish (live),0.87,445.75,102.54,Vermont,Rhode Island
2012,ID,NV,1,Animals & fish (live),0.88,3444.54,294.82,Idaho,Nevada
2012,TN,OH,1,Animals & fish (live),0.89,1356.58,3762.89,Tennessee,Ohio
2012,TN,WV,1,Animals & fish (live),0.89,1356.58,264.57,Tennessee,West Virginia
2012,MO,MD,1,Animals & fish (live),0.9,3341.06,1043.96,Missouri,Maryland
2012,KS,NJ,1,Animals & fish (live),0.94,5402.17,824.36,Kansas,New Jersey
2012,OK,LA,1,Animals & fish (live),0.94,3057.46,2101.69,Oklahoma,Louisiana
2012,MO,MA,1,Animals & fish (live),0.96,3341.06,1009.57,Missouri,Massachusetts
2012,KS,NY,1,Animals & fish (live),0.97,5402.17,2872.87,Kansas,New York
2012,MO,GA,1,Animals & fish (live),0.97,3341.06,4205.78,Missouri,Georgia
2012,KS,NH,1,Animals & fish (live),0.99,5402.17,221.86,Kansas,New Hampshire
2012,KS,NV,1,Animals & fish (live),0.99,5402.17,294.82,Kansas,Nevada
2012,NC,NJ,1,Animals & fish (live),1.02,4602.34,824.36,North Carolina,New Jersey
2012,GA,AR,1,Animals & fish (live),1.04,4205.78,2573.44,Georgia,Arkansas
2012,MO,AL,1,Animals & fish (live),1.07,3341.06,1802.17,Missouri,Alabama
2012,ME,RI,1,Animals & fish (live),1.09,828.62,102.54,Maine,Rhode Island
2012,ME,VT,1,Animals & fish (live),1.09,828.62,445.75,Maine,Vermont
2012,NC,TX,1,Animals & fish (live),1.1,4602.34,8217.54,North Carolina,Texas
2012,MD,NY,1,Animals & fish (live),1.14,1043.96,2872.87,Maryland,New York
2012,MO,OH,1,Animals & fish (live),1.14,3341.06,3762.89,Missouri,Ohio
2012,MO,NV,1,Animals & fish (live),1.18,3341.06,294.82,Missouri,Nevada
2012,CA,SC,1,Animals & fish (live),1.24,34377.93,1188.08,California,South Carolina
2012,NH,ME,1,Animals & fish (live),1.35,221.86,828.62,New Hampshire,Maine
2012,NH,VT,1,Animals & fish (live),1.35,221.86,445.75,New Hampshire,Vermont
2012,MO,TN,1,Animals & fish (live),1.36,3341.06,1356.58,Missouri,Tennessee
2012,FL,KY,1,Animals & fish (live),1.38,6682.81,2112.13,Florida,Kentucky
2012,VA,MI,1,Animals & fish (live),1.39,1680.19,3286.13,Virginia,Michigan
2012,TN,IL,1,Animals & fish (live),1.4,1356.58,5911.13,Tennessee,Illinois
2012,NJ,RI,1,Animals & fish (live),1.42,824.36,102.54,New Jersey,Rhode Island
2012,RI,VT,1,Animals & fish (live),1.53,102.54,445.75,Rhode Island,Vermont
2012,OK,IL,1,Animals & fish (live),1.58,3057.46,5911.13,Oklahoma,Illinois
2012,CA,WI,1,Animals & fish (live),1.74,34377.93,4945.86,California,Wisconsin
2012,RI,NH,1,Animals & fish (live),1.74,102.54,221.86,Rhode Island,New Hampshire
2012,GA,KY,1,Animals & fish (live),1.78,4205.78,2112.13,Georgia,Kentucky
2012,MO,CT,1,Animals & fish (live),1.82,3341.06,409.33,Missouri,Connecticut
2012,NC,CA,1,Animals & fish (live),1.86,4602.34,34377.93,North Carolina,California
2012,MO,CA,1,Animals & fish (live),1.96,3341.06,34377.93,Missouri,California
2012,OK,NM,1,Animals & fish (live),1.97,3057.46,1416.47,Oklahoma,New Mexico
2012,PA,IA,1,Animals & fish (live),1.97,3704.98,10520.48,Pennsylvania,Iowa
2012,MO,TX,1,Animals & fish (live),1.98,3341.06,8217.54,Missouri,Texas
2012,CA,IN,1,Animals & fish (live),1.99,34377.93,4087.65,California,Indiana
2012,TX,MS,1,Animals & fish (live),1.99,8217.54,1902.13,Texas,Mississippi
2012,WV,GA,1,Animals & fish (live),2,264.57,4205.78,West Virginia,Georgia
2012,DC,DE,1,Animals & fish (live),2.07,0.44,417,,Delaware
2012,NH,NY,1,Animals & fish (live),2.07,221.86,2872.87,New Hampshire,New York
2012,IL,AR,1,Animals & fish (live),2.09,5911.13,2573.44,Illinois,Arkansas
2012,KS,FL,1,Animals & fish (live),2.12,5402.17,6682.81,Kansas,Florida
2012,MO,VA,1,Animals & fish (live),2.15,3341.06,1680.19,Missouri,Virginia
2012,NC,DE,1,Animals & fish (live),2.21,4602.34,417,North Carolina,Delaware
2012,CA,NH,1,Animals & fish (live),2.28,34377.93,221.86,California,New Hampshire
