,year,state_orig,state_dest,sctg2,sctg2_description,value,state_orig_gdp,state_dest_gdp,name_state_orig,name_state_dest,orig_per_capita_2012,orig_per_capita_2017,orig_pop_2012,orig_pop_2017,dest_per_capita_2012,dest_per_capita_2017,dest_pop_2012,dest_pop_2017
0,2012,IL,OR,1,Animals & fish (live),0.0,5911.13,3690.43,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
1,2012,IL,OR,3,"Agricultural products (excl. feed, grains, and forage)",77.22,5911.13,3690.43,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
2,2012,IL,OR,4,"Animal feed, eggs, honey, other products of animal origin",0.08,5911.13,3690.43,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
3,2012,IL,OR,5,"Meat, poultry, fish, seafood, and preparations",165.5,5911.13,3690.43,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
4,2012,IL,OR,6,Milled grain products and preparations and bakery products,30.45,5911.13,3690.43,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
5,2012,IL,OR,7,Other prepared foodstuffs and preparations,31.23,5911.13,3690.43,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
6,2017,IL,OR,1,Animals & fish (live),0.0,5945.18,3701.88,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
7,2017,IL,OR,3,"Agricultural products (excl. feed, grains, and forage)",106.65,5945.18,3701.88,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
8,2017,IL,OR,4,"Animal feed, eggs, honey, other products of animal origin",0.09,5945.18,3701.88,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
9,2017,IL,OR,5,"Meat, poultry, fish, seafood, and preparations",180.93,5945.18,3701.88,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
10,2017,IL,OR,6,Milled grain products and preparations and bakery products,31.71,5945.18,3701.88,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
11,2017,IL,OR,7,Other prepared foodstuffs and preparations,32.43,5945.18,3701.88,Illinois,Oregon,52141,55102,12567900,12496600,49461,51312,3825500,4063000
12,2012,VA,OR,4,"Animal feed, eggs, honey, other products of animal origin",1.07,1680.19,3690.43,Virginia,Oregon,51568,52124,7865500,8140700,49461,51312,3825500,4063000
13,2012,VA,OR,5,"Meat, poultry, fish, seafood, and preparations",3.3,1680.19,3690.43,Virginia,Oregon,51568,52124,7865500,8140700,49461,51312,3825500,4063000
14,2012,VA,OR,6,Milled grain products and preparations and bakery products,6.0,1680.19,3690.43,Virginia,Oregon,51568,52124,7865500,8140700,49461,51312,3825500,4063000
15,2012,VA,OR,7,Other prepared foodstuffs and preparations,3.72,1680.19,3690.43,Virginia,Oregon,51568,52124,7865500,8140700,49461,51312,3825500,4063000
16,2017,VA,OR,4,"Animal feed, eggs, honey, other products of animal origin",1.18,1719.9,3701.88,Virginia,Oregon,51568,52124,7865500,8140700,49461,51312,3825500,4063000
17,2017,VA,OR,5,"Meat, poultry, fish, seafood, and preparations",3.37,1719.9,3701.88,Virginia,Oregon,51568,52124,7865500,8140700,49461,51312,3825500,4063000
18,2017,VA,OR,6,Milled grain products and preparations and bakery products,5.85,1719.9,3701.88,Virginia,Oregon,51568,52124,7865500,8140700,49461,51312,3825500,4063000
19,2017,VA,OR,7,Other prepared foodstuffs and preparations,3.62,1719.9,3701.88,Virginia,Oregon,51568,52124,7865500,8140700,49461,51312,3825500,4063000
20,2012,WI,OR,4,"Animal feed, eggs, honey, other products of animal origin",87.48,4945.86,3690.43,Wisconsin,Oregon,45422,48666,5566100,5643000,49461,51312,3825500,4063000
21,2012,WI,OR,5,"Meat, poultry, fish, seafood, and preparations",37.9,4945.86,3690.43,Wisconsin,Oregon,45422,48666,5566100,5643000,49461,51312,3825500,4063000
22,2012,WI,OR,6,Milled grain products and preparations and bakery products,12.31,4945.86,3690.43,Wisconsin,Oregon,45422,48666,5566100,5643000,49461,51312,3825500,4063000
23,2012,WI,OR,7,Other prepared foodstuffs and preparations,195.67,4945.86,3690.43,Wisconsin,Oregon,45422,48666,5566100,5643000,49461,51312,3825500,4063000
24,2017,WI,OR,4,"Animal feed, eggs, honey, other products of animal origin",96.25,4648.5,3701.88,Wisconsin,Oregon,45422,48666,5566100,5643000,49461,51312,3825500,4063000
25,2017,WI,OR,5,"Meat, poultry, fish, seafood, and preparations",41.84,4648.5,3701.88,Wisconsin,Oregon,45422,48666,5566100,5643000,49461,51312,3825500,4063000
26,2017,WI,OR,6,Milled grain products and preparations and bakery products,12.94,4648.5,3701.88,Wisconsin,Oregon,45422,48666,5566100,5643000,49461,51312,3825500,4063000
27,2017,WI,OR,7,Other prepared foodstuffs and preparations,205.16,4648.5,3701.88,Wisconsin,Oregon,45422,48666,5566100,5643000,49461,51312,3825500,4063000
28,2012,CA,OR,1,Animals & fish (live),4.15,34377.93,3690.43,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
29,2012,CA,OR,2,Cereal grains and seed,5.96,34377.93,3690.43,California,Oregon,52963,60359,37221500,38713900,49461,51312,3825500,4063000
