Area,Population_2012,Population_2017
Alabama,4696000,4741400
Alaska,706200,710100
Arizona,6386300,6841300
Arkansas,2860200,2910000
California,37221500,38713900
Colorado,5045900,5461100
Connecticut,3479300,3478700
Delaware,888000,931700
District of Columbia,596000,657600
Florida,18876900,20532300
Georgia,9616400,10121400
Hawaii,1330300,1356100
Idaho,1562500,1682100
Illinois,12567900,12496600
Indiana,6338800,6459400
Iowa,2976000,3045600
Kansas,2787500,2817600
Kentucky,4235100,4307100
Louisiana,4457000,4541500
Maine,1292600,1300200
Maryland,5722700,5892900
Massachusetts,6410600,6620600
Michigan,9659300,9720300
Minnesota,5256300,5446600
Mississippi,2884500,2884500
Missouri,5830600,5921300
Montana,978700,1022600
Nebraska,1795100,1859200
Nevada,2710900,2946600
New Hampshire,1280100,1297000
New Jersey,8685500,8823900
New Mexico,2039200,2038200
New York,19040100,19315700
North Carolina,9439200,9948800
North Dakota,671900,726000
Ohio,11222100,11323500
Oklahoma,3689500,3803700
Oregon,3825500,4063000
Pennsylvania,12347600,12389100
Rhode Island,1007900,1015900
South Carolina,4569100,4864600
South Dakota,800400,837000
Tennessee,6277400,6538200
Texas,25384300,27621300
Utah,2801700,3047400
Vermont,600700,600200
Virginia,7865500,8140700
Washington,6732900,7239800
West Virginia,1801800,1762100
Wisconsin,5566100,5643000
Wyoming,559000,563300
Puerto Rico,3634000,3304800
